iter	Passed	Remaining
505	647	632
506	648	630
507	649	629
508	650	627
509	652	626
510	653	625
511	654	624
512	657	623
513	658	622
514	661	623
515	663	621
516	664	620
517	666	620
518	668	619
519	669	617
520	670	616
521	672	615
522	673	614
523	674	612
524	676	611
525	677	610
526	679	609
527	681	609
528	683	608
529	686	608
530	687	607
531	688	605
532	690	604
533	691	603
534	693	602
535	695	601
536	697	601
537	698	599
538	699	598
539	701	597
540	702	596
541	704	595
542	705	593
543	706	592
544	709	592
545	710	590
546	711	589
547	712	588
548	713	586
549	715	585
550	716	583
551	717	582
552	719	581
553	720	579
554	722	579
555	724	578
556	726	577
557	727	576
558	728	575
559	730	573
560	731	572
561	732	570
562	733	569
563	735	568
564	737	567
565	738	566
566	739	565
567	741	563
568	742	562
569	743	560
570	744	559
571	746	558
572	747	556
573	748	555
574	750	554
575	751	553
576	752	551
577	753	550
578	754	548
579	756	547
580	757	546
581	758	544
582	760	543
583	761	542
584	762	540
585	763	539
586	764	538
587	766	536
588	767	535
589	768	533
590	769	532
591	770	530
592	771	529
593	772	527
594	773	526
595	774	525
596	775	523
597	776	522
598	778	521
599	780	520
600	781	518
601	782	517
602	783	515
603	784	514
604	785	513
605	786	511
606	788	510
607	789	509
608	790	507
609	791	506
610	792	504
611	794	503
612	795	502
613	796	500
614	797	499
615	798	498
616	800	496
617	801	495
618	802	493
619	803	492
620	804	491
621	805	489
622	807	488
623	808	487
624	809	485
625	810	484
626	811	483
627	813	481
628	814	480
629	815	478
630	816	477
631	817	476
632	818	474
633	819	473
634	820	471
635	822	470
636	823	469
637	824	468
638	825	466
639	827	465
640	828	463
641	829	462
642	830	461
643	831	459
644	832	458
645	833	456
646	834	455
647	835	454
648	837	452
649	838	451
650	839	450
651	840	448
652	841	447
653	843	446
654	845	445
655	863	453
656	865	451
657	866	450
658	869	449
659	870	448
660	873	447
661	874	446
662	875	445
663	876	443
664	878	442
665	879	441
666	880	439
667	882	438
668	883	437
669	884	435
670	886	434
671	888	433
672	889	432
673	890	430
674	891	429
675	892	427
676	894	426
677	895	425
678	897	424
679	898	423
680	900	421
681	901	420
682	903	419
683	904	418
684	906	416
685	907	415
686	908	413
687	909	412
688	910	411
689	913	410
690	914	409
691	916	407
692	917	406
693	918	404
694	919	403
695	921	402
696	922	401
697	923	399
698	924	398
699	926	396
700	927	395
701	928	394
702	929	392
703	931	391
704	932	390
705	933	388
706	934	387
707	936	386
708	937	384
709	938	383
710	939	381
711	940	380
712	942	379
713	943	378
714	945	376
715	946	375
716	947	373
717	949	372
718	950	371
719	951	370
720	953	368
721	954	367
722	957	366
723	958	365
724	960	364
725	961	362
726	962	361
727	963	360
728	965	358
729	966	357
730	967	356
731	969	354
732	970	353
733	971	351
734	972	350
735	973	349
736	974	347
737	976	346
738	977	345
739	978	343
740	979	342
741	980	340
742	981	339
743	982	338
744	983	336
745	984	335
746	986	333
747	987	332
748	988	331
749	989	329
750	990	328
751	992	327
752	993	325
753	994	324
754	995	323
755	996	321
756	997	320
757	998	318
758	1000	317
759	1001	316
760	1002	314
761	1003	313
762	1004	312
763	1006	310
764	1007	309
765	1008	308
766	1009	306
767	1011	305
768	1013	304
769	1015	303
770	1016	301
771	1017	300
772	1018	299
773	1019	297
774	1021	296
775	1022	295
776	1023	293
777	1025	292
778	1026	291
779	1027	289
780	1029	288
781	1031	287
782	1032	286
783	1033	284
784	1035	283
785	1036	282
786	1038	280
787	1039	279
788	1040	278
789	1042	277
790	1043	275
791	1044	274
792	1046	273
793	1047	271
794	1048	270
795	1049	269
796	1051	267
797	1052	266
798	1053	265
799	1054	263
800	1056	262
801	1057	261
802	1058	259
803	1059	258
804	1061	257
805	1062	255
806	1064	254
807	1065	253
808	1066	251
809	1068	250
810	1069	249
811	1070	247
812	1071	246
813	1073	245
814	1074	243
815	1075	242
816	1077	241
817	1078	239
818	1080	238
819	1081	237
820	1082	236
821	1084	234
822	1085	233
823	1086	232
824	1087	230
825	1088	229
826	1090	228
827	1091	226
828	1093	225
829	1094	224
830	1095	222
831	1097	221
832	1100	220
833	1103	219
834	1106	218
835	1108	217
836	1109	216
837	1111	214
838	1113	213
839	1115	212
840	1118	211
841	1120	210
842	1122	209
843	1124	207
844	1126	206
845	1129	205
846	1136	205
847	1138	204
848	1140	202
849	1141	201
850	1144	200
851	1145	199
852	1148	197
853	1149	196
854	1151	195
855	1152	193
856	1153	192
857	1154	191
858	1156	189
859	1157	188
860	1158	187
861	1160	185
862	1161	184
863	1163	183
864	1164	181
865	1165	180
866	1166	178
867	1167	177
868	1169	176
869	1170	174
870	1171	173
871	1172	172
872	1173	170
873	1174	169
874	1176	168
875	1177	166
876	1179	165
877	1180	164
878	1182	162
879	1184	161
880	1185	160
881	1187	158
882	1188	157
883	1190	156
884	1191	154
885	1192	153
886	1194	152
887	1195	150
888	1197	149
889	1198	148
890	1200	146
891	1201	145
892	1203	144
893	1204	142
894	1206	141
895	1208	140
896	1209	138
897	1210	137
898	1211	136
899	1213	134
900	1214	133
901	1215	132
902	1216	130
903	1217	129
904	1219	127
905	1220	126
906	1222	125
907	1223	123
908	1224	122
909	1225	121
910	1226	119
911	1227	118
912	1229	117
913	1230	115
914	1231	114
915	1232	113
916	1233	111
917	1235	110
918	1237	109
919	1242	108
920	1243	106
921	1245	105
922	1246	104
923	1248	102
924	1249	101
925	1250	99
926	1252	98
927	1254	97
928	1255	95
929	1257	94
930	1258	93
931	1260	91
932	1261	90
933	1263	89
934	1264	87
935	1265	86
936	1267	85
937	1268	83
938	1269	82
939	1270	81
940	1271	79
941	1272	78
942	1274	77
943	1275	75
944	1276	74
945	1277	72
946	1278	71
947	1279	70
948	1281	68
949	1282	67
950	1284	66
951	1285	64
952	1287	63
953	1288	62
954	1290	60
955	1291	59
956	1292	58
957	1294	56
958	1295	55
959	1296	54
960	1298	52
961	1299	51
962	1300	49
963	1301	48
964	1303	47
965	1304	45
966	1305	44
967	1307	43
968	1308	41
969	1309	40
970	1311	39
971	1312	37
972	1313	36
973	1315	35
974	1316	33
975	1317	32
976	1318	31
977	1319	29
978	1321	28
979	1322	26
980	1323	25
981	1324	24
982	1326	22
983	1327	21
984	1329	20
985	1331	18
986	1332	17
987	1333	16
988	1335	14
989	1336	13
990	1337	12
991	1339	10
992	1340	9
993	1342	8
994	1343	6
995	1344	5
996	1345	4
997	1347	2
998	1348	1
999	1349	0
